shapeID,shapeName,bps_code,bps_name,match
22746128B1660874628525,Gorontalo,7502,Gorontalo,exact
22746128B78667545948550,Gorontalo Utara,7505,Gorontalo Utara,exact
22746128B57887954309635,Gowa,7306,Gowa,exact
22746128B46933486274006,Gresik,3525,Gresik,exact
22746128B71964042918672,Grobogan,3315,Grobogan,exact
22746128B54859500646728,Gunung Kidul,3403,Gunung Kidul,exact
22746128B12491014044373,Gunung Mas,6211,Gunung Mas,exact
22746128B52341022582766,Halmahera Barat,8201,Halmahera Barat,exact
22746128B2838702785556,Halmahera Selatan,8204,Halmahera Selatan,exact
22746128B46636453933041,Halmahera Tengah,8202,Halmahera Tengah,exact
22746128B70343351071090,Halmahera Timur,8206,Halmahera Timur,exact
22746128B41252486574655,Halmahera Utara,8205,Halmahera Utara,exact
22746128B37889128386884,Hulu Sungai Selatan,6306,Hulu Sungai Selatan,exact
22746128B20472072190374,Hulu Sungai Tengah,6307,Hulu Sungai Tengah,exact
22746128B21492383155838,Hulu Sungai Utara,6308,Hulu Sungai Utara,exact
22746128B305851071948,Humbang Hasundutan,1215,Humbang Hasundutan,exact
22746128B69994664325988,Hutan,,,EXCLUDED
22746128B36468792556341,Indragiri Hilir,1403,Indragiri Hilir,exact
22746128B72920479258091,Indragiri Hulu,1402,Indragiri Hulu,exact
22746128B59462811669242,Indramayu,3212,Indramayu,exact
22746128B83440404091664,Intan Jaya,9435,Intan Jaya,exact
22746128B71103770185906,Jayapura,9403,Jayapura,exact
22746128B40741333574981,Jayawijaya,9402,Jayawijaya,exact
22746128B56085237319005,Jember,3509,Jember,exact
22746128B85592790675198,Jembrana,5101,Jembrana,exact
22746128B64050318598962,Jeneponto,7304,Jeneponto,exact
22746128B68650893607060,Jepara,3320,Jepara,exact
22746128B39847330151566,Jombang,3517,Jombang,exact
22746128B93097528927367,Kaimana,9102,Kaimana,exact
22746128B8837306932395,Kampar,1406,Kampar,exact
22746128B40136746216216,Kapuas,6203,Kapuas,exact
22746128B82886709098386,Kapuas Hulu,6108,Kapuas Hulu,exact
22746128B60715781377305,Karang Asem,5107,Karang Asem,exact
22746128B38192287274107,Karanganyar,3313,Karanganyar,exact
22746128B53840275251202,Karawang,3215,Karawang,exact
22746128B38340908247842,Karimun,2101,Karimun,exact
22746128B49947212525753,Karo,1211,Karo,exact
22746128B40819362853427,Katingan,6209,Katingan,exact
22746128B79405855452274,Kaur,1704,Kaur,exact
22746128B56151469580770,Kayong Utara,6111,Kayong Utara,exact
22746128B26305825050369,Kebumen,3305,Kebumen,exact
22746128B82286187836997,Kediri,3506,Kediri,exact
22746128B17774751253690,Keerom,9420,Keerom,exact
22746128B21241240008354,Kendal,3324,Kendal,exact
22746128B30869437307727,Kepahiang,1708,Kepahiang,exact
22746128B99951880476592,Kepulauan Anambas,2105,Kepulauan Anambas,exact
22746128B17511076551422,Kepulauan Aru,8105,Kepulauan Aru,exact
22746128B86355072671334,Kepulauan Mentawai,1301,Kepulauan Mentawai,exact
22746128B32802105420608,Kepulauan Meranti,1410,Kepulauan Meranti,exact
22746128B28296608330436,Kepulauan Sangihe,7103,Kepulauan Sangihe,exact
22746128B1615833901652,Kepulauan Selayar,7301,Kepulauan Selayar,exact
22746128B63742079715926,Kepulauan Seribu,3101,Kepulauan Seribu,exact
22746128B81791072961966,Kepulauan Sula,8203,Kepulauan Sula,exact
22746128B45484540858108,Kepulauan Talaud,7104,Kepulauan Talaud,exact
22746128B96094928872069,Kepulauan Yapen,9408,Kepulauan Yapen,exact
22746128B64633952285861,Kerinci,1501,Kerinci,exact
22746128B56277764926455,Ketapang,6106,Ketapang,exact
22746128B24447956326165,Klaten,3310,Klaten,exact
22746128B73073409478343,Klungkung,5105,Klungkung,exact
